Date,Category,Volume_Items,Cost_GBP
2025-08-01,Antidepressants,7557893,14551272.290000001
2025-08-01,Anxiolytics,401295,1020008.72
2025-09-01,Antidepressants,7977410,16682549.14
2025-09-01,Anxiolytics,419416,1028961.67
2025-10-01,Antidepressants,8225984,16924702.51
2025-10-01,Anxiolytics,430038,976625.99
2025-11-01,Antidepressants,7588253,15607205.73
2025-11-01,Anxiolytics,389627,964590.63
2025-12-01,Antidepressants,8361857,18122904.85
2025-12-01,Anxiolytics,432446,1112781.66
2026-01-01,Antidepressants,8109511,16518446.79
2026-01-01,Anxiolytics,411110,1052385.96
2026-02-01,Antidepressants,7467167,17393140.67
2026-02-01,Anxiolytics,378365,976964.61
2026-03-01,Antidepressants,8182572,18371581.64
2026-03-01,Anxiolytics,409504,1013282.76
