Region,Category,Volume_Items,Cost_GBP
Dorset,Antidepressants,6205721,16643660.16
Dorset,Anxiolytics,442227,1001424.56
East And North Hertfordshire,Antidepressants,4222296,10744685.68
East And North Hertfordshire,Anxiolytics,242557,714912.12
East Lancashire,Antidepressants,3294018,6648946.13
East Lancashire,Anxiolytics,144852,1037665.35
East Leicestershire And Rutland,Antidepressants,2465066,6732741.6
East Leicestershire And Rutland,Anxiolytics,173292,634434.8
East Riding Of Yorkshire,Antidepressants,2816969,6070950.23
East Riding Of Yorkshire,Anxiolytics,114333,429907.89
East Staffordshire,Antidepressants,1038913,2520389.48
East Staffordshire,Anxiolytics,61676,280148.13
East Sussex,Antidepressants,4491818,12944815.39
East Sussex,Anxiolytics,430055,1348197.31
Frimley,Antidepressants,135200,414312.62
Frimley,Anxiolytics,14174,38773.95
Fylde And Wyre,Antidepressants,1874062,3821918.35
Fylde And Wyre,Anxiolytics,83122,319404.65
Gloucestershire,Antidepressants,5602183,13219011.39
Gloucestershire,Anxiolytics,463398,1146220.62
Greater Preston,Antidepressants,1764920,3785800.58
Greater Preston,Anxiolytics,71515,420015.42
Halton,Antidepressants,1304545,3224455.22
Halton,Anxiolytics,117118,592219.44
"Hampshire, Southampton And Isle Of Wight",Antidepressants,13408567,40762672.67
"Hampshire, Southampton And Isle Of Wight",Anxiolytics,720396,2657962.08
Herefordshire And Worcestershire,Antidepressants,6112970,15305880.43
Herefordshire And Worcestershire,Anxiolytics,486254,1484425.61
Herts Valleys,Antidepressants,3391869,8735740.99
Herts Valleys,Anxiolytics,216817,758980.51
"Heywood, Middleton And Rochdale",Antidepressants,2018911,4526078.02
"Heywood, Middleton And Rochdale",Anxiolytics,75881,327384.31
Hull,Antidepressants,2947783,5221869.72
Hull,Anxiolytics,109912,466006.68
Ipswich And East Suffolk,Antidepressants,3834771,9346476.98
Ipswich And East Suffolk,Anxiolytics,214723,540816.77
Kent And Medway,Antidepressants,13325409,34790117.81
Kent And Medway,Anxiolytics,772482,2627992.4699999997
Kirklees,Antidepressants,3597149,8485993.8
Kirklees,Anxiolytics,206328,754532.9
Knowsley,Antidepressants,1800424,3952577.63
Knowsley,Anxiolytics,128674,539743.5
Leeds,Antidepressants,6219370,14740237.34
Leeds,Anxiolytics,246628,857484.93
Leicester City,Antidepressants,2422027,5419498.57
Leicester City,Anxiolytics,196279,748816.0
Lincolnshire,Antidepressants,8593067,19441986.64
Lincolnshire,Anxiolytics,551936,1942136.16
Liverpool,Antidepressants,5285659,12350458.48
Liverpool,Anxiolytics,449398,1541182.39
Manchester,Antidepressants,5371232,11735102.13
Manchester,Anxiolytics,318896,917687.21
Mid Essex,Antidepressants,3463160,7574171.88
Mid Essex,Anxiolytics,209684,611059.25
Morecambe Bay,Antidepressants,2999707,6925729.61
Morecambe Bay,Anxiolytics,159588,600992.49
Newcastle Gateshead,Antidepressants,6176594,11289925.47
Newcastle Gateshead,Anxiolytics,258905,816256.7
Norfolk And Waveney,Antidepressants,11126487,25993125.01
Norfolk And Waveney,Anxiolytics,814852,1870589.64
North Central London,Antidepressants,7415591,19605704.06
North Central London,Anxiolytics,542263,1436479.42
North Cumbria,Antidepressants,3138302,6456837.7
North Cumbria,Anxiolytics,110173,389860.71
North East Essex,Antidepressants,3735118,8593303.78
North East Essex,Anxiolytics,302542,832441.71
North East Lincolnshire,Antidepressants,1570614,2872104.68
North East Lincolnshire,Anxiolytics,60818,267670.71
North East London,Antidepressants,9846414,22324161.53
North East London,Anxiolytics,476532,1357220.6
North Lincolnshire,Antidepressants,1848570,3637260.4
North Lincolnshire,Anxiolytics,83915,332592.74
North Staffordshire,Antidepressants,1995134,4695025.01
North Staffordshire,Anxiolytics,123197,534956.59
North Tyneside,Antidepressants,2588067,4955753.76
North Tyneside,Anxiolytics,112541,335103.7
North West London,Antidepressants,9511558,23141210.46
North West London,Anxiolytics,702131,1754455.07
North Yorkshire,Antidepressants,4472942,9875856.63
North Yorkshire,Anxiolytics,220837,677724.02
Northamptonshire,Antidepressants,6699643,13946448.6
Northamptonshire,Anxiolytics,378505,898524.15
Northumberland,Antidepressants,3812278,7621863.91
Northumberland,Anxiolytics,145837,518180.45
Nottingham And Nottinghamshire,Antidepressants,8587618,20052921.48
Nottingham And Nottinghamshire,Anxiolytics,381611,1341489.28
Oldham,Antidepressants,2015703,4399029.71
Oldham,Anxiolytics,105915,511682.24
Oxfordshire,Antidepressants,4780433,13220350.65
Oxfordshire,Anxiolytics,218595,1043964.05
Portsmouth,Antidepressants,1718980,4390770.91
Portsmouth,Anxiolytics,105106,287850.46
Rotherham,Antidepressants,2707444,5517838.74
Rotherham,Anxiolytics,126575,472461.77
Salford,Antidepressants,2916864,5560638.95
Salford,Anxiolytics,98598,377967.18
Sheffield,Antidepressants,5608953,10788220.58
Sheffield,Anxiolytics,318993,849079.61
"Shropshire, Telford And Wrekin",Antidepressants,3685479,9933000.9
"Shropshire, Telford And Wrekin",Anxiolytics,260173,1119047.66
Somerset,Antidepressants,4297097,10738862.01
Somerset,Anxiolytics,332489,1124529.07
South East London,Antidepressants,8171074,21557324.74
South East London,Anxiolytics,396771,1016827.91
South East Staffordshire And Seisdon Peninsula,Antidepressants,1597723,3843504.7
South East Staffordshire And Seisdon Peninsula,Anxiolytics,95936,451125.17
South Sefton,Antidepressants,1611243,3688006.34
South Sefton,Anxiolytics,137188,618987.59
South Tyneside,Antidepressants,2043203,3639195.62
South Tyneside,Anxiolytics,61091,257110.28
South West London,Antidepressants,7522634,18900224.37
South West London,Anxiolytics,521784,1242808.8
Southend,Antidepressants,1408565,3917847.79
Southend,Anxiolytics,88751,215199.75
Southport And Formby,Antidepressants,1126523,2808177.02
Southport And Formby,Anxiolytics,100259,374160.48
St Helens,Antidepressants,2214033,5072686.72
St Helens,Anxiolytics,247080,1154498.68
Stafford And Surrounds,Antidepressants,1126303,2706626.59
Stafford And Surrounds,Anxiolytics,79052,334079.86
Stockport,Antidepressants,2835412,6422647.02
Stockport,Anxiolytics,181775,589828.99
Stoke On Trent,Antidepressants,2635035,5756430.9
Stoke On Trent,Anxiolytics,153009,539184.93
Sunderland,Antidepressants,4279083,6982292.89
Sunderland,Anxiolytics,123702,344759.63
Surrey Heartlands,Antidepressants,6106127,20627228.81
Surrey Heartlands,Anxiolytics,513976,1858429.77
Tameside And Glossop,Antidepressants,2134214,4272899.73
Tameside And Glossop,Anxiolytics,156493,458390.68
Tees Valley,Antidepressants,8317415,17014707.4
Tees Valley,Anxiolytics,303688,1274714.62
Thames Valley Icb - U2G6B,Antidepressants,2022494,6004827.24
Thames Valley Icb - U2G6B,Anxiolytics,135611,652560.32
Thurrock,Antidepressants,1146585,2595672.99
Thurrock,Anxiolytics,30594,109227.52
Trafford,Antidepressants,1948120,4780189.87
Trafford,Anxiolytics,109586,397405.16000000003
Vale Of York,Antidepressants,1728897,3923400.31
Vale Of York,Anxiolytics,70562,287195.23
Wakefield,Antidepressants,3531448,8432445.79
Wakefield,Anxiolytics,187134,817288.53
Warrington,Antidepressants,1696048,4648307.8
Warrington,Anxiolytics,131621,741488.86
West Essex,Antidepressants,2238827,5439971.19
West Essex,Anxiolytics,113074,329787.21
West Lancashire,Antidepressants,907659,2223885.81
West Lancashire,Anxiolytics,57111,315839.7
West Leicestershire,Antidepressants,3353287,8059872.0
West Leicestershire,Anxiolytics,259186,830330.31
West Suffolk,Antidepressants,2782741,6096450.84
West Suffolk,Anxiolytics,117498,303857.67
West Sussex,Antidepressants,6117830,18310237.2
West Sussex,Anxiolytics,381575,1158001.77
Wigan Borough,Antidepressants,3196331,7836199.22
Wigan Borough,Anxiolytics,175228,978724.4
Wirral,Antidepressants,3472454,7970581.92
Wirral,Anxiolytics,268577,837511.93
