region,measure,value
all SubICBs,Count_WaitingForAssessment,2650.0
all SubICBs,Count_WaitingForAssessmentOver90days,170.0
all SubICBs,Count_WaitingForTreatment,2620.0
all SubICBs,Count_WaitingForTreatment0to2weeks,720.0
all SubICBs,Count_WaitingForTreatment0to4weeks,1240.0
all SubICBs,Count_WaitingForTreatment0to6weeks,1625.0
all SubICBs,Count_WaitingForTreatment0to12weeks,2405.0
all SubICBs,Count_WaitingForTreatment0to18weeks,2540.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,80.0
all SubICBs,Count_WaitingForTreatmentOver90days,175.0
all SubICBs,Count_WaitingForAssessment,615.0
all SubICBs,Count_WaitingForAssessmentOver90days,30.0
all SubICBs,Count_WaitingForTreatment,575.0
all SubICBs,Count_WaitingForTreatment0to2weeks,275.0
all SubICBs,Count_WaitingForTreatment0to4weeks,455.0
all SubICBs,Count_WaitingForTreatment0to6weeks,510.0
all SubICBs,Count_WaitingForTreatment0to12weeks,545.0
all SubICBs,Count_WaitingForTreatment0to18weeks,560.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,15.0
all SubICBs,Count_WaitingForTreatmentOver90days,25.0
all SubICBs,Count_WaitingForAssessment,250.0
all SubICBs,Count_WaitingForTreatment,245.0
all SubICBs,Count_WaitingForTreatment0to2weeks,190.0
all SubICBs,Count_WaitingForTreatment0to4weeks,240.0
all SubICBs,Count_WaitingForTreatment0to6weeks,240.0
all SubICBs,Count_WaitingForTreatment0to12weeks,245.0
all SubICBs,Count_WaitingForTreatment0to18weeks,245.0
all SubICBs,Count_WaitingForAssessment,310.0
all SubICBs,Count_WaitingForAssessmentOver90days,205.0
all SubICBs,Count_WaitingForTreatment,300.0
all SubICBs,Count_WaitingForTreatment0to2weeks,25.0
all SubICBs,Count_WaitingForTreatment0to4weeks,50.0
all SubICBs,Count_WaitingForTreatment0to6weeks,70.0
all SubICBs,Count_WaitingForTreatment0to12weeks,105.0
all SubICBs,Count_WaitingForTreatment0to18weeks,130.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,170.0
all SubICBs,Count_WaitingForTreatmentOver90days,190.0
all SubICBs,Count_WaitingForAssessment,460.0
all SubICBs,Count_WaitingForAssessmentOver90days,10.0
all SubICBs,Count_WaitingForTreatment,450.0
all SubICBs,Count_WaitingForTreatment0to2weeks,195.0
all SubICBs,Count_WaitingForTreatment0to4weeks,320.0
all SubICBs,Count_WaitingForTreatment0to6weeks,420.0
all SubICBs,Count_WaitingForTreatment0to12weeks,445.0
all SubICBs,Count_WaitingForTreatment0to18weeks,445.0
all SubICBs,Count_WaitingForTreatmentOver90days,5.0
all SubICBs,Count_WaitingForAssessment,1200.0
all SubICBs,Count_WaitingForAssessmentOver90days,65.0
all SubICBs,Count_WaitingForTreatment,1195.0
all SubICBs,Count_WaitingForTreatment0to2weeks,265.0
all SubICBs,Count_WaitingForTreatment0to4weeks,510.0
all SubICBs,Count_WaitingForTreatment0to6weeks,790.0
all SubICBs,Count_WaitingForTreatment0to12weeks,1130.0
all SubICBs,Count_WaitingForTreatment0to18weeks,1170.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,25.0
all SubICBs,Count_WaitingForTreatmentOver90days,60.0
all SubICBs,Count_WaitingForAssessment,3285.0
all SubICBs,Count_WaitingForAssessmentOver90days,120.0
all SubICBs,Count_WaitingForTreatment,3280.0
all SubICBs,Count_WaitingForTreatment0to2weeks,1110.0
all SubICBs,Count_WaitingForTreatment0to4weeks,2130.0
all SubICBs,Count_WaitingForTreatment0to6weeks,2740.0
all SubICBs,Count_WaitingForTreatment0to12weeks,3155.0
all SubICBs,Count_WaitingForTreatment0to18weeks,3180.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,100.0
all SubICBs,Count_WaitingForTreatmentOver90days,120.0
all SubICBs,Count_WaitingForAssessment,415.0
all SubICBs,Count_WaitingForAssessmentOver90days,10.0
all SubICBs,Count_WaitingForTreatment,410.0
all SubICBs,Count_WaitingForTreatment0to2weeks,190.0
all SubICBs,Count_WaitingForTreatment0to4weeks,320.0
all SubICBs,Count_WaitingForTreatment0to6weeks,380.0
all SubICBs,Count_WaitingForTreatment0to12weeks,405.0
all SubICBs,Count_WaitingForTreatment0to18weeks,405.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,10.0
all SubICBs,Count_WaitingForTreatmentOver90days,10.0
all SubICBs,Count_WaitingForAssessment,710.0
all SubICBs,Count_WaitingForAssessmentOver90days,205.0
all SubICBs,Count_WaitingForTreatment,500.0
all SubICBs,Count_WaitingForTreatment0to2weeks,90.0
all SubICBs,Count_WaitingForTreatment0to4weeks,195.0
all SubICBs,Count_WaitingForTreatment0to6weeks,305.0
all SubICBs,Count_WaitingForTreatment0to12weeks,460.0
all SubICBs,Count_WaitingForTreatment0to18weeks,490.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,10.0
all SubICBs,Count_WaitingForTreatmentOver90days,40.0
all SubICBs,Count_WaitingForAssessment,100.0
all SubICBs,Count_WaitingForAssessmentOver90days,40.0
all SubICBs,Count_WaitingForTreatment,85.0
all SubICBs,Count_WaitingForTreatment0to2weeks,15.0
all SubICBs,Count_WaitingForTreatment0to4weeks,25.0
all SubICBs,Count_WaitingForTreatment0to6weeks,35.0
all SubICBs,Count_WaitingForTreatment0to12weeks,60.0
all SubICBs,Count_WaitingForTreatment0to18weeks,70.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,15.0
all SubICBs,Count_WaitingForTreatmentOver90days,25.0
all SubICBs,Count_WaitingForAssessment,240.0
all SubICBs,Count_WaitingForAssessmentOver90days,165.0
all SubICBs,Count_WaitingForTreatment,195.0
all SubICBs,Count_WaitingForTreatment0to2weeks,15.0
all SubICBs,Count_WaitingForTreatment0to4weeks,30.0
all SubICBs,Count_WaitingForTreatment0to6weeks,45.0
all SubICBs,Count_WaitingForTreatment0to12weeks,70.0
all SubICBs,Count_WaitingForTreatment0to18weeks,75.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,120.0
all SubICBs,Count_WaitingForTreatmentOver90days,120.0
all SubICBs,Count_WaitingForAssessment,805.0
all SubICBs,Count_WaitingForAssessmentOver90days,10.0
all SubICBs,Count_WaitingForTreatment,800.0
all SubICBs,Count_WaitingForTreatment0to2weeks,415.0
all SubICBs,Count_WaitingForTreatment0to4weeks,680.0
all SubICBs,Count_WaitingForTreatment0to6weeks,725.0
all SubICBs,Count_WaitingForTreatment0to12weeks,790.0
all SubICBs,Count_WaitingForTreatment0to18weeks,795.0
all SubICBs,Count_WaitingForTreatmentOver90days,5.0
all SubICBs,Count_WaitingForAssessment,30.0
all SubICBs,Count_WaitingForAssessmentOver90days,15.0
all SubICBs,Count_WaitingForTreatment,200.0
all SubICBs,Count_WaitingForTreatment0to2weeks,15.0
all SubICBs,Count_WaitingForTreatment0to4weeks,30.0
all SubICBs,Count_WaitingForTreatment0to6weeks,35.0
all SubICBs,Count_WaitingForTreatment0to12weeks,85.0
all SubICBs,Count_WaitingForTreatment0to18weeks,110.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,90.0
all SubICBs,Count_WaitingForTreatmentOver90days,110.0
all SubICBs,Count_WaitingForAssessment,5.0
all SubICBs,Count_WaitingForAssessment,315.0
all SubICBs,Count_WaitingForAssessmentOver90days,290.0
all SubICBs,Count_WaitingForTreatment,310.0
all SubICBs,Count_WaitingForTreatment0to12weeks,25.0
all SubICBs,Count_WaitingForTreatment0to18weeks,35.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,275.0
all SubICBs,Count_WaitingForTreatmentOver90days,285.0
all SubICBs,Count_WaitingForAssessment,55.0
all SubICBs,Count_WaitingForAssessmentOver90days,5.0
all SubICBs,Count_WaitingForTreatment,50.0
all SubICBs,Count_WaitingForTreatment0to12weeks,35.0
all SubICBs,Count_WaitingForTreatment0to18weeks,50.0
all SubICBs,Count_WaitingForTreatmentOver90days,5.0
all SubICBs,Count_WaitingForAssessment,35.0
all SubICBs,Count_WaitingForAssessmentOver90days,35.0
all SubICBs,Count_WaitingForTreatment,10.0
all SubICBs,Count_WaitingForTreatment0to18weeks,5.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,5.0
all SubICBs,Count_WaitingForTreatmentOver90days,10.0
all SubICBs,Count_WaitingForAssessment,15.0
all SubICBs,Count_WaitingForAssessmentOver90days,5.0
all SubICBs,Count_WaitingForTreatment,10.0
all SubICBs,Count_WaitingForTreatment0to4weeks,5.0
all SubICBs,Count_WaitingForTreatment0to6weeks,5.0
all SubICBs,Count_WaitingForTreatment0to12weeks,5.0
all SubICBs,Count_WaitingForTreatment0to18weeks,10.0
all SubICBs,Count_WaitingForTreatmentOver90days,5.0
all SubICBs,Count_WaitingForAssessment,3220.0
all SubICBs,Count_WaitingForAssessmentOver90days,5.0
all SubICBs,Count_WaitingForTreatment,3215.0
all SubICBs,Count_WaitingForTreatment0to2weeks,2040.0
all SubICBs,Count_WaitingForTreatment0to4weeks,3075.0
all SubICBs,Count_WaitingForTreatment0to6weeks,3175.0
all SubICBs,Count_WaitingForTreatment0to12weeks,3210.0
all SubICBs,Count_WaitingForTreatment0to18weeks,3215.0
all SubICBs,Count_WaitingForAssessment,2605.0
all SubICBs,Count_WaitingForAssessmentOver90days,140.0
all SubICBs,Count_WaitingForTreatment,2540.0
all SubICBs,Count_WaitingForTreatment0to2weeks,1210.0
all SubICBs,Count_WaitingForTreatment0to4weeks,1935.0
all SubICBs,Count_WaitingForTreatment0to6weeks,2200.0
all SubICBs,Count_WaitingForTreatment0to12weeks,2455.0
all SubICBs,Count_WaitingForTreatment0to18weeks,2490.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,50.0
all SubICBs,Count_WaitingForTreatmentOver90days,75.0
all SubICBs,Count_WaitingForAssessment,60.0
all SubICBs,Count_WaitingForTreatment,65.0
all SubICBs,Count_WaitingForTreatment0to2weeks,60.0
all SubICBs,Count_WaitingForTreatment0to4weeks,60.0
all SubICBs,Count_WaitingForTreatment0to6weeks,65.0
all SubICBs,Count_WaitingForTreatment0to12weeks,65.0
all SubICBs,Count_WaitingForTreatment0to18weeks,65.0
all SubICBs,Count_WaitingForAssessment,20.0
all SubICBs,Count_WaitingForTreatment,20.0
all SubICBs,Count_WaitingForTreatment0to2weeks,15.0
all SubICBs,Count_WaitingForTreatment0to4weeks,20.0
all SubICBs,Count_WaitingForTreatment0to6weeks,20.0
all SubICBs,Count_WaitingForTreatment0to12weeks,20.0
all SubICBs,Count_WaitingForTreatment0to18weeks,20.0
all SubICBs,Count_WaitingForAssessment,30.0
all SubICBs,Count_WaitingForTreatment,30.0
all SubICBs,Count_WaitingForTreatment0to2weeks,15.0
all SubICBs,Count_WaitingForTreatment0to4weeks,25.0
all SubICBs,Count_WaitingForTreatment0to6weeks,30.0
all SubICBs,Count_WaitingForTreatment0to12weeks,30.0
all SubICBs,Count_WaitingForTreatment0to18weeks,30.0
all SubICBs,Count_WaitingForAssessment,45.0
all SubICBs,Count_WaitingForAssessmentOver90days,20.0
all SubICBs,Count_WaitingForTreatment,35.0
all SubICBs,Count_WaitingForTreatment0to4weeks,5.0
all SubICBs,Count_WaitingForTreatment0to6weeks,15.0
all SubICBs,Count_WaitingForTreatment0to12weeks,20.0
all SubICBs,Count_WaitingForTreatment0to18weeks,25.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,10.0
all SubICBs,Count_WaitingForTreatmentOver90days,15.0
all SubICBs,Count_WaitingForAssessment,390.0
all SubICBs,Count_WaitingForAssessmentOver90days,15.0
all SubICBs,Count_WaitingForTreatment,390.0
all SubICBs,Count_WaitingForTreatment0to2weeks,170.0
all SubICBs,Count_WaitingForTreatment0to4weeks,270.0
all SubICBs,Count_WaitingForTreatment0to6weeks,335.0
all SubICBs,Count_WaitingForTreatment0to12weeks,375.0
all SubICBs,Count_WaitingForTreatment0to18weeks,380.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,10.0
all SubICBs,Count_WaitingForTreatmentOver90days,10.0
all SubICBs,Count_WaitingForAssessment,2650.0
all SubICBs,Count_WaitingForAssessmentOver90days,25.0
all SubICBs,Count_WaitingForTreatment,2630.0
all SubICBs,Count_WaitingForTreatment0to2weeks,1280.0
all SubICBs,Count_WaitingForTreatment0to4weeks,2165.0
all SubICBs,Count_WaitingForTreatment0to6weeks,2505.0
all SubICBs,Count_WaitingForTreatment0to12weeks,2620.0
all SubICBs,Count_WaitingForTreatment0to18weeks,2625.0
all SubICBs,Count_WaitingForTreatmentOver90days,10.0
all SubICBs,Count_WaitingForAssessment,370.0
all SubICBs,Count_WaitingForAssessmentOver90days,25.0
all SubICBs,Count_WaitingForTreatment,370.0
all SubICBs,Count_WaitingForTreatment0to2weeks,215.0
all SubICBs,Count_WaitingForTreatment0to4weeks,285.0
all SubICBs,Count_WaitingForTreatment0to6weeks,320.0
all SubICBs,Count_WaitingForTreatment0to12weeks,345.0
all SubICBs,Count_WaitingForTreatment0to18weeks,350.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,20.0
all SubICBs,Count_WaitingForTreatmentOver90days,25.0
all SubICBs,Count_WaitingForAssessment,1220.0
all SubICBs,Count_WaitingForAssessmentOver90days,30.0
all SubICBs,Count_WaitingForTreatment,1210.0
all SubICBs,Count_WaitingForTreatment0to2weeks,485.0
all SubICBs,Count_WaitingForTreatment0to4weeks,840.0
all SubICBs,Count_WaitingForTreatment0to6weeks,1040.0
all SubICBs,Count_WaitingForTreatment0to12weeks,1185.0
all SubICBs,Count_WaitingForTreatment0to18weeks,1195.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,20.0
all SubICBs,Count_WaitingForTreatmentOver90days,25.0
all SubICBs,Count_WaitingForAssessment,290.0
all SubICBs,Count_WaitingForAssessmentOver90days,20.0
all SubICBs,Count_WaitingForTreatment,485.0
all SubICBs,Count_WaitingForTreatment0to2weeks,165.0
all SubICBs,Count_WaitingForTreatment0to4weeks,275.0
all SubICBs,Count_WaitingForTreatment0to6weeks,335.0
all SubICBs,Count_WaitingForTreatment0to12weeks,430.0
all SubICBs,Count_WaitingForTreatment0to18weeks,460.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,20.0
all SubICBs,Count_WaitingForTreatmentOver90days,45.0
all SubICBs,Count_WaitingForAssessment,1470.0
all SubICBs,Count_WaitingForAssessmentOver90days,435.0
all SubICBs,Count_WaitingForTreatment,1450.0
all SubICBs,Count_WaitingForTreatment0to2weeks,515.0
all SubICBs,Count_WaitingForTreatment0to4weeks,855.0
all SubICBs,Count_WaitingForTreatment0to6weeks,980.0
all SubICBs,Count_WaitingForTreatment0to12weeks,1100.0
all SubICBs,Count_WaitingForTreatment0to18weeks,1125.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,320.0
all SubICBs,Count_WaitingForTreatmentOver90days,350.0
all SubICBs,Count_WaitingForAssessment,580.0
all SubICBs,Count_WaitingForAssessmentOver90days,390.0
all SubICBs,Count_WaitingForTreatment,560.0
all SubICBs,Count_WaitingForTreatment0to12weeks,145.0
all SubICBs,Count_WaitingForTreatment0to18weeks,355.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,200.0
all SubICBs,Count_WaitingForTreatmentOver90days,375.0
all SubICBs,Count_WaitingForAssessment,1110.0
all SubICBs,Count_WaitingForAssessmentOver90days,15.0
all SubICBs,Count_WaitingForTreatment,1110.0
all SubICBs,Count_WaitingForTreatment0to2weeks,575.0
all SubICBs,Count_WaitingForTreatment0to4weeks,890.0
all SubICBs,Count_WaitingForTreatment0to6weeks,1050.0
all SubICBs,Count_WaitingForTreatment0to12weeks,1100.0
all SubICBs,Count_WaitingForTreatment0to18weeks,1100.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,10.0
all SubICBs,Count_WaitingForTreatmentOver90days,10.0
all SubICBs,Count_WaitingForAssessment,1285.0
all SubICBs,Count_WaitingForAssessmentOver90days,70.0
all SubICBs,Count_WaitingForTreatment,1240.0
all SubICBs,Count_WaitingForTreatment0to2weeks,700.0
all SubICBs,Count_WaitingForTreatment0to4weeks,915.0
all SubICBs,Count_WaitingForTreatment0to6weeks,1040.0
all SubICBs,Count_WaitingForTreatment0to12weeks,1195.0
all SubICBs,Count_WaitingForTreatment0to18weeks,1210.0
all SubICBs,Count_WaitingForTreatmentOver18weeks,30.0
all SubICBs,Count_WaitingForTreatmentOver90days,45.0
all SubICBs,Count_WaitingForAssessment,550.0
all SubICBs,Count_WaitingForTreatment,495.0
all SubICBs,Count_WaitingForTreatment0to2weeks,405.0
all SubICBs,Count_WaitingForTreatment0to4weeks,480.0
all SubICBs,Count_WaitingForTreatment0to6weeks,495.0
all SubICBs,Count_WaitingForTreatment0to12weeks,495.0
all SubICBs,Count_WaitingForTreatment0to18weeks,495.0
all SubICBs,Count_WaitingForAssessment,310.0
all SubICBs,Count_WaitingForAssessmentOver90days,5.0
all SubICBs,Count_WaitingForTreatment,305.0
all SubICBs,Count_WaitingForTreatment0to2weeks,270.0
all SubICBs,Count_WaitingForTreatment0to4weeks,285.0
all SubICBs,Count_WaitingForTreatment0to6weeks,295.0
all SubICBs,Count_WaitingForTreatment0to12weeks,305.0
all SubICBs,Count_WaitingForTreatment0to18weeks,305.0
all SubICBs,Count_WaitingForAssessment,435.0
all SubICBs,Count_WaitingForAssessmentOver90days,10.0
all SubICBs,Count_WaitingForTreatment,425.0
